,stromal_score,immune_score,estimate_score,tumor_purity,true_purity
TCGA-LIHC-0029,0.13543852807450102,-0.0023705058155814545,0.13306802225891956,0.8224982672047161,0.7247142755349301
TCGA-LIHC-0030,0.07172771495986535,0.450833804549979,0.5225615195098443,0.8224657476371872,0.6536940404098422
TCGA-LIHC-0031,0.0924006408423428,0.46466580572626776,0.5570664465686106,0.822462866624268,0.6584309311037017
TCGA-LIHC-0032,-0.12410130345567504,-0.17476206091691235,-0.29886336437258737,0.8225343268500184,0.769370657555962
TCGA-LIHC-0033,0.3189083940753725,-0.028270266737509712,0.2906381273378628,0.8224851116948438,0.49924661902968537
TCGA-LIHC-0034,0.8297156534436038,0.37584345613285197,1.2055591095764557,0.8224087163531568,0.3966597145697046
TCGA-LIHC-0035,0.2496381917616901,0.07526095424978395,0.32489914601147407,0.8224822511881147,0.6713494572212239
TCGA-LIHC-0036,-0.1817946249654541,0.21765633457792982,0.03586170961247573,0.822506382729078,0.7280095396756684
TCGA-LIHC-0037,-0.3632483865527712,-0.26642976352192077,-0.629678150074692,0.822561942574195,0.9509905103013654
TCGA-LIHC-0038,0.03332196233413529,0.05199113029594833,0.08531309263008363,0.8225022541713893,0.7322851655276931
TCGA-LIHC-0039,0.3109368822558989,0.4216196942294425,0.7325565764853414,0.8224482136270982,0.5390540201753489
TCGA-LIHC-0040,0.7897515362668989,0.37693393382457324,1.1666854700914722,0.8224119625799898,0.3919299060422733
TCGA-LIHC-0041,0.19445702307415041,0.17571040400183,0.3701674270759804,0.822478471635709,0.7116978489082427
TCGA-LIHC-0042,-0.2377648031878218,-0.11368944664142441,-0.3514542498292462,0.8225387171564509,0.926335049171045
TCGA-LIHC-0043,0.6957341264591294,0.30333163463543616,0.9990657610945655,0.8224259597174531,0.508671721699681
TCGA-LIHC-0044,0.6283198885093504,0.01551989104173182,0.6438397795510822,0.8224556213311409,0.6447284351945167
TCGA-LIHC-0045,-0.27589335375390467,-0.22296786942533586,-0.49886122317924053,0.8225510224834737,0.738916560935646
TCGA-LIHC-0046,0.030068429245897373,0.2432899049449463,0.27335833419084365,0.8224865544042584,0.6276956838705985
TCGA-LIHC-0047,-0.2939848479845663,-0.27786105075154155,-0.5718458987361079,0.8225571149991012,0.8549501657414503
TCGA-LIHC-0048,-0.2985736438057922,-0.1723613278894689,-0.4709349716952611,0.8225486912688054,0.8088247269742654
TCGA-LIHC-0049,0.43831472250635967,0.2749411170893606,0.7132558395957203,0.8224498252181927,0.49641195779333475
TCGA-LIHC-0050,-0.18323189122489109,-0.005055691828044081,-0.18828758305293516,0.8225250957833024,0.7579669876344522
TCGA-LIHC-0051,-0.13720548188851148,0.05000720935156525,-0.08719827253694623,0.8225166564747612,0.8268006851508448
TCGA-LIHC-0052,0.1303018921122522,0.26324006869176547,0.3935419608040177,0.8224765200281661,0.6770956224095878
TCGA-LIHC-0053,0.6442281119388973,0.3534324690039034,0.9976605809428007,0.8224260770553671,0.5198931175616088
TCGA-LIHC-0054,-0.2724923264408679,-0.03612160366994417,-0.30861393011081206,0.8225351408345288,0.8866087926804624
TCGA-LIHC-0055,0.5203096296333138,0.13555272856991132,0.6558623582032251,0.822454617474118,0.5338395953442137
TCGA-LIHC-0056,-0.09757140657087779,0.3004302732735472,0.20285886670266942,0.8224924404294595,0.6027072010026951
TCGA-LIHC-0057,0.1272155998880654,0.08844111562633783,0.21565671551440324,0.822491371939129,0.7854993601217873
TCGA-LIHC-0058,-0.3789718129949973,-0.1508823325763301,-0.5298541455713275,0.8225536096800915,0.8907092685328146
TCGA-LIHC-0059,-0.64537507474473,-0.21015333960207344,-0.8555284143468034,0.8225807949662369,0.9081616337628275
TCGA-LIHC-0060,0.29752369467488776,-0.04634370557695745,0.2511799890979303,0.8224884060915444,0.6160869699678154
TCGA-LIHC-0061,-0.4664496023060338,-0.13649141614559593,-0.6029410184516297,0.8225597106865954,0.8914463430902213
TCGA-LIHC-0062,-0.016684122428288716,-0.239228247261193,-0.2559123696894817,0.8225307412488438,0.6837908089543394
TCGA-LIHC-0063,-0.010938843477489078,0.05125775837003721,0.04031891489254813,0.8225060106112497,0.707925673143736
TCGA-LIHC-0064,0.30912322460210867,0.4369040081389661,0.7460272327410749,0.8224470888376523,0.6453013821578876
TCGA-LIHC-0065,-0.5561116850316378,-0.2510632073021645,-0.8071748923338022,0.8225767588302653,0.8791772076748084
TCGA-LIHC-0066,0.9040723938815536,0.30505418457749994,1.2091265784590535,0.8224084184426572,0.38044819059090573
TCGA-LIHC-0067,0.21742860379045637,0.06728425883704096,0.28471286262749734,0.822485606402472,0.5986590205696427
TCGA-LIHC-0068,-0.6492378889369429,-0.35442340746138307,-1.003661296398326,0.822593159566718,0.8916913232451109
TCGA-LIHC-0069,-0.10622337974987567,-0.11390242084434347,-0.22012580059421916,0.8225277537176449,0.784771612779088
TCGA-LIHC-0070,-0.5522798065655058,-0.28082659296128804,-0.8331063995267938,0.8225789233745172,0.9493936041328687
TCGA-LIHC-0071,-0.09592894314341878,-0.2396230296142484,-0.3355519727576672,0.8225373896336907,0.8583373459082819
