,risk_score,group,STIM1,TRPC6,TRPC1,ORAI1
TCGA-DD-AAE1-01,0.2625023825604883,High,2578.0795,4.8497,94.0834,147.4297
TCGA-DD-AAE2-01,1.627729697572639,High,4277.0234,23.3569,8.6909,599.6741
TCGA-DD-AAE3-01,-1.4167705456568302,Low,1019.1226,93.3633,41.6198,883.0146
TCGA-DD-AAE4-01,-0.6532284176666651,Low,1042.9121,42.6162,10.654,482.9831
TCGA-DD-AAE6-01,1.1870514449836058,High,3583.1143,4.3297,34.6374,366.7852
TCGA-DD-AAE7-01,-0.3758654937230761,Low,1803.7024,15.3685,20.957,572.8257
TCGA-DD-AAE9-01,0.39200188132654895,High,3610.3087,6.7969,53.2427,783.9139
TCGA-DD-AAEA-01,0.38216037061386254,High,2677.5561,7.7535,64.6128,280.4197
TCGA-DD-AAEB-01,-0.2384458500845986,Low,1959.1563,49.548,25.4436,603.9505
TCGA-DD-AAED-01,1.1204106717943727,High,2745.5061,7.5686,22.7058,70.9555
TCGA-DD-AAEE-01,0.35404443340624897,High,2898.7767,20.4329,26.8853,626.4283
TCGA-DD-AAEG-01,0.9992795037880134,High,3252.702,20.0721,11.8374,472.9799
TCGA-DD-AAEH-01,1.265878079976649,High,3809.6774,21.7742,16.129,557.2581
TCGA-DD-AAEI-01,1.0753887532323028,High,3598.1941,15.0489,1.5049,637.3213
TCGA-DD-AAEK-01,0.31609941650304996,High,2365.2729,14.2091,14.2091,445.9479
TCGA-DD-AAVP-01,-1.014970141227533,Low,3661.5721,37.1179,10.917,1966.1572
TCGA-DD-AAVQ-01,-0.22193794657135885,Low,2446.4286,22.4654,14.977,832.9493
TCGA-DD-AAVR-01,-0.20435742527458536,Low,1986.5169,67.4157,24.7191,633.7079
TCGA-DD-AAVS-01,0.6873328277583401,High,2948.8848,68.7732,46.9331,429.8327
TCGA-DD-AAVU-01,0.31019395618953377,High,2608.8881,9.5888,17.7024,540.6602
TCGA-DD-AAVV-01,1.255533313018075,High,3774.1935,48.3871,20.8333,572.5806
TCGA-DD-AAVW-01,0.4381819777429161,High,2583.8466,40.8235,57.0121,302.657
TCGA-DD-AAVX-01,-0.47773730731201003,Low,2129.5872,25.2294,43.578,694.9541
TCGA-DD-AAVY-01,0.7946809243536146,High,2918.1291,14.2845,3.061,473.4307
TCGA-DD-AAVZ-01,0.36836238758832784,High,2807.9289,15.7211,37.594,508.5441
TCGA-DD-AAW0-01,1.4485499268939765,High,3815.3093,9.0922,21.5939,393.2371
TCGA-DD-AAW1-01,0.1566618190172041,High,3550.9592,29.3765,8.9928,1176.259
TCGA-DD-AAW2-01,0.7272953802619755,High,3308.5427,29.1457,10.0503,696.4824
TCGA-DD-AAW3-01,0.630263857146071,High,3229.1274,27.6208,6.696,733.2078
TCGA-ED-A459-01,0.3655046638319153,High,2520.4387,14.243,55.8325,272.8956
TCGA-ED-A4XI-01,0.552906007353563,High,2734.2105,13.1579,28.2895,401.3158
TCGA-ED-A5KG-01,-1.7526939089603413,Low,1796.7726,34.7958,93.293,1088.2501
TCGA-ED-A627-01,-0.8689484001939601,Low,1725.6484,8.6455,74.928,548.1268
TCGA-ED-A66X-01,0.010957586261785593,Low,2576.9231,18.7377,61.144,502.4655
TCGA-ED-A66Y-01,-0.831836344462768,Low,2654.9943,16.0735,177.9564,451.2055
TCGA-ED-A7PX-01,-1.4173695740371262,Low,1548.5457,45.3366,79.7487,849.3787
TCGA-ED-A7PY-01,-0.4923855735399358,Low,1786.9214,9.7967,72.4957,357.5802
TCGA-ED-A7PZ-01,-0.4633559091621771,Low,2644.8328,21.4669,20.9165,1046.9245
TCGA-ED-A7XO-01,0.2572592413710015,High,2615.9983,10.0777,16.7961,582.826
TCGA-ED-A7XP-01,1.1321505516751258,High,3403.4582,37.464,36.3112,368.2997
TCGA-ED-A82E-01,0.9266925348671035,High,4450.1801,18.0072,176.8707,232.493
TCGA-ED-A8O5-01,0.3321150611062682,High,2386.4865,39.4595,42.7027,345.4054
TCGA-ED-A8O6-01,-0.5390756537690752,Low,2035.9491,22.2125,58.4539,604.4133
TCGA-ED-A97K-01,-0.5100805915954857,Low,1512.4904,4.8421,59.4256,294.4866
TCGA-EP-A12J-01,1.3785668202519883,High,4694.3696,3.9711,2.2692,954.1909
TCGA-EP-A26S-01,-0.12972703474989464,Low,2398.3265,5.725,15.8538,715.6226
TCGA-EP-A2KA-01,-0.4566041474878449,Low,1728.9442,11.8624,68.8019,330.3677
TCGA-EP-A2KB-01,-1.2386274840756173,Low,1852.743,16.8431,183.3494,289.7016
TCGA-EP-A2KC-01,-0.38023273317462947,Low,1994.6467,16.5953,49.7859,519.8073
TCGA-EP-A3JL-01,-0.413505165010879,Low,2113.1222,12.0664,31.6742,684.0121
TCGA-EP-A3RK-01,-0.929842402785019,Low,2147.4943,28.4738,17.6538,1127.5626
TCGA-ES-A2HS-01,-1.5143040467615998,Low,1396.3887,19.7764,9.4583,1154.7721
TCGA-ES-A2HT-01,0.04177818508168018,High,2394.5469,12.0289,6.4154,668.0032
TCGA-FV-A23B-01,0.30989354120124457,High,3079.4884,27.8666,80.8588,473.7323
TCGA-FV-A2QQ-01,0.03507931404357234,High,2181.5905,8.1403,9.3926,546.0238
TCGA-FV-A2QR-01,2.6358948101956163,High,5175.4543,30.98,16.6816,378.314
TCGA-FV-A3I0-01,-0.21686419179923233,Low,2340.5755,7.6336,41.6911,610.687
TCGA-FV-A3I1-01,1.3158017799836823,High,3430.5187,9.7597,13.5551,332.9127
TCGA-FV-A3R2-01,-0.08710941701280225,Low,2181.1862,4.7795,29.1114,512.7091
TCGA-FV-A3R3-01,0.4876486563111684,High,2867.8865,21.7655,49.8315,410.68
TCGA-FV-A495-01,-1.4683880652845458,Low,1600.0,8.6614,11.811,1191.3386
TCGA-FV-A496-01,0.9187264085678891,High,2819.8198,6.435,14.157,275.4183
TCGA-FV-A4ZP-01,-2.324740932165381,Low,646.4189,0.0,0.0,1309.1568
TCGA-FV-A4ZQ-01,0.6498611947313129,High,2998.4334,6.7885,17.7546,511.7493
TCGA-G3-A25S-01,0.16559349319162964,High,3021.6336,6.4753,7.064,880.6475
TCGA-G3-A25T-01,-1.924396291066306,Low,1233.7381,15.1778,95.4033,874.2411
TCGA-G3-A25U-01,0.38698237079838177,High,1797.1515,13.2355,3.4527,180.6934
TCGA-G3-A25V-01,-0.041548180494162486,Low,2194.332,17.5439,19.5682,564.7773
TCGA-G3-A25X-01,-2.3453889709207023,Low,883.3145,14.6561,56.3698,1170.2368
TCGA-G3-A25Y-01,-0.6655296018222183,Low,2267.7165,12.74,41.7588,864.9031
TCGA-G3-A25Z-01,0.42190678725943626,High,2588.1756,38.3313,58.3068,303.4115
TCGA-G3-A3CG-01,1.7303136864651167,High,4224.6933,10.7362,14.5706,455.5215
TCGA-G3-A3CH-01,0.8053892733363017,High,2766.8611,25.9888,11.4097,372.0842
TCGA-G3-A3CI-01,0.17441766231134004,High,1817.5182,44.708,27.3723,258.2117
TCGA-G3-A3CJ-01,-0.9373104813067175,Low,1647.3282,21.374,6.1069,936.6412
TCGA-G3-A3CK-01,-0.09842916250374399,Low,1970.7616,16.7014,8.3507,548.9476
TCGA-G3-A5SI-01,0.0841614823094479,High,2313.1334,7.4457,24.819,497.2079
TCGA-G3-A5SJ-01,-1.0390123461577778,Low,853.3669,33.3543,44.0529,439.8993
TCGA-G3-A5SK-01,0.012378914908592671,Low,2058.9474,6.3158,18.9474,447.3684
TCGA-G3-A5SL-01,0.8430899965493647,High,3384.0539,67.9394,9.5452,737.2263
TCGA-G3-A5SM-01,1.3508508328816424,High,3893.3747,27.4327,18.6335,542.4431
TCGA-G3-A6UC-01,0.650370721417605,High,2708.7017,7.3225,7.3225,426.5336
TCGA-G3-A7M5-01,-0.15730958875465395,Low,2008.5194,18.3706,45.1611,414.8695
TCGA-G3-A7M6-01,-1.3764762659222003,Low,1962.4516,15.8935,146.6177,619.0523
TCGA-G3-A7M7-01,0.42937571568383137,High,3073.9178,7.0323,14.8461,701.6721
TCGA-G3-A7M8-01,0.1955806518259596,High,1874.2378,34.2988,10.6707,339.939
TCGA-G3-A7M9-01,-3.520570857689532,Low,738.5038,17.2566,243.5533,860.8687
TCGA-G3-AAUZ-01,-0.8090252092134064,Low,1590.0621,13.8026,11.0421,788.5898
