logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,log2FC,p_value,FDR,t_stat
1.20989755671671,1.67776776206408,16.2003487671778,3.50701404029995e-06,4.57672374456012e-05,4.86962384388754,ACTRT3,1.20989755671671,3.50701404029995e-06,4.57672374456012e-05,16.2003487671778
1.08981518791992,4.06527822628832,17.7507715830606,2.04626398450882e-06,3.18912940895032e-05,5.48025423160284,ACVR1B,1.08981518791992,2.04626398450882e-06,3.18912940895032e-05,17.7507715830606
1.55329864693196,4.10613294168881,15.163890378753,5.17228713058027e-06,5.89618372817909e-05,4.42778507733615,ACY1,1.55329864693196,5.17228713058027e-06,5.89618372817909e-05,15.163890378753
-1.33988273017626,2.43456128539287,-16.7892194492408,2.84201063243469e-06,3.95581033040717e-05,5.10822973305089,ADA,-1.33988273017626,2.84201063243469e-06,3.95581033040717e-05,-16.7892194492408
-1.78298751566748,3.59099375378733,-10.6808350373503,3.96401390628401e-05,0.0002517061688025,2.09917858583658,ADAM15,-1.78298751566748,3.96401390628401e-05,0.0002517061688025,-10.6808350373503
2.72598011010673,2.58078757356507,22.5732817540862,4.92756014750871e-07,1.21997003423463e-05,7.07872015944318,ADAM23,2.72598011010673,4.92756014750871e-07,1.21997003423463e-05,22.5732817540862
-2.07899972397327,1.15326741297764,-11.3538951324893,2.78883690015628e-05,0.0001917952488266,2.50224730563359,ADAM28,-2.07899972397327,2.78883690015628e-05,0.0001917952488266,-11.3538951324893
1.39688881091924,2.34134050439735,12.8536692026262,1.35901868374549e-05,0.0001145939859848,3.32526027465315,ADAMTSL4,1.39688881091924,1.35901868374549e-05,0.0001145939859848,12.8536692026262
-1.14630578421035,1.07860055710057,-10.8490576925625,3.62373858332386e-05,0.0002363339393178,2.20207981797155,ADCY3,-1.14630578421035,3.62373858332386e-05,0.0002363339393178,-10.8490576925625
-1.00088670912644,0.53298028677203,-5.66228051868871,0.0013026011700846,0.0037843562826911,-1.89751832894688,ADGRG1,-1.00088670912644,0.0013026011700846,0.0037843562826911,-5.66228051868871
1.02302903446804,3.89193842212685,12.7751400519787,1.40833734803871e-05,0.0001174186584336,3.2844903383709,ADGRL2,1.02302903446804,1.40833734803871e-05,0.0001174186584336,12.7751400519787
-1.19869314155689,2.71581463870833,-12.5300121512112,1.57620179447542e-05,0.0001263878527118,3.15566625468265,ADORA2A,-1.19869314155689,1.57620179447542e-05,0.0001263878527118,-12.5300121512112
-1.93122159851692,2.08476031563114,-19.4413677451643,1.19500435819532e-06,2.24136603864686e-05,6.08706524850104,ADORA2B,-1.93122159851692,1.19500435819532e-06,2.24136603864686e-05,-19.4413677451643
-2.7107445525049,2.0585147518145,-23.8698099669412,3.53554717500711e-07,9.65442062620638e-06,7.4472853609258,ADRA2C,-2.7107445525049,3.53554717500711e-07,9.65442062620638e-06,-23.8698099669412
-3.06063006371732,1.55377814115579,-29.9006675778407,9.23778326763883e-08,4.41443775414594e-06,8.91506464222854,AFAP1,-3.06063006371732,9.23778326763883e-08,4.41443775414594e-06,-29.9006675778407
