logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
-0.11024723944043,6.63466522935839,-1.56879391090708,0.16772695863032,0.231729911594058,-7.15214197961568,ACTR3
-0.119048522341737,2.56773377076324,-1.22083645861975,0.267926585716362,0.345589933625214,-7.57833692872326,ACTR3B
-1.02556620455258,1.70910816278118,-6.52133517674491,0.0006193275061508,0.0020801082493407,-1.0503188015923,ACTR3C
-0.319412681408445,2.73822480775122,-2.93561046312959,0.0260846626653612,0.0469661234692291,-5.24021012239821,ACTR5
1.02394858427189,2.66379797171388,9.18194348908305,9.38253012272775e-05,0.000476011422854,1.11096001178614,ACTR6
1.0923886601542,2.56139069471031,8.7414923963411,0.0001237780058306,0.0005867492778217,0.793183959148557,ACTR8
1.20989755671671,1.67776776206408,16.2003487671778,3.50701404029995e-06,4.57672374456012e-05,4.86962384388754,ACTRT3
-0.805527204923475,3.05489651214261,-11.7561369194643,2.28082752974799e-05,0.00016580646662,2.73262573687125,ACVR1
1.08981518791992,4.06527822628832,17.7507715830606,2.04626398450882e-06,3.18912940895032e-05,5.48025423160284,ACVR1B
-0.0967975071514185,0.236931145527118,-0.341518106642545,0.744352468841491,0.790126042466452,-8.28704876049184,ACVR1C
-0.161753707027622,2.5111869430121,-0.687132121559439,0.517653964952963,0.587177435767398,-8.0894310783989,ACVR2A
0.626990284993333,2.34305298184369,9.86986915125868,6.22658277338999e-05,0.0003513629715786,1.58129126721404,ACVR2B
1.55329864693196,4.10613294168881,15.163890378753,5.17228713058027e-06,5.89618372817909e-05,4.42778507733615,ACY1
0.760775802811454,1.73663443162983,5.37578916176798,0.0017004167261808,0.0047155998734581,-2.20018758335612,ACY3
-0.242270083776832,1.07580893536486,-0.697980076052996,0.51130962126803,0.581661462864885,-8.08131992211923,ACYP1
-0.0914378090495743,1.603956966407,-0.901081139802985,0.40225183982953,0.478622245890171,-7.91044828475359,ACYP2
-1.33988273017626,2.43456128539287,-16.7892194492408,2.84201063243469e-06,3.95581033040717e-05,5.10822973305089,ADA
-0.0544995774276265,0.0272497887138133,-0.82433442505327,0.441268966997703,0.516582368101967,-7.97911332844904,ADAD1
0.743994726057417,4.72281396692888,4.94111838750971,0.0025982702184834,0.0066438550966115,-2.68027060949219,ADAM10
-0.0742241763672651,0.0513268673197971,-0.891083462784317,0.407182706753575,0.483603876314233,-7.91966071357457,ADAM11
-1.78298751566748,3.59099375378733,-10.6808350373503,3.96401390628401e-05,0.0002517061688025,2.09917858583658,ADAM15
0.570519469214747,3.3471360898386,8.80940016336078,0.0001185086877362,0.0005671487198807,0.843077270607962,ADAM17
0.0271915549443229,0.0789904417894556,0.47434547916866,0.652017979528348,0.709495998150646,-8.22561878856219,ADAM20P1
-0.0501865588584605,0.0250932794292302,-0.786657083919382,0.461403300450741,0.535809890043665,-8.01104398930873,ADAM21
-0.407079522727384,1.13510736708001,-1.4702357174044,0.191879836972035,0.259799718327735,-7.27819876131597,ADAM22
2.72598011010673,2.58078757356507,22.5732817540862,4.92756014750871e-07,1.21997003423463e-05,7.07872015944318,ADAM23
-2.07899972397327,1.15326741297764,-11.3538951324893,2.78883690015628e-05,0.0001917952488266,2.50224730563359,ADAM28
-0.51373820178533,0.464537532282846,-6.85682606428972,0.0004728692176789,0.0016876315462358,-0.742046634606066,ADAM32
0.0676920502289232,0.0852441334453916,0.762033771814893,0.474908378457189,0.548844945602076,-8.03125482771942,ADAM8
-0.859984872142102,6.31110382444368,-14.6430207489718,6.34886494186594e-06,6.777332535268e-05,4.19429781491362,ADAM9
0.42174537554251,4.16501775298172,7.38694757278436,0.0003152658979964,0.001225793042823,-0.278253485408094,ADAMTS1
-0.884209901933162,3.20313725184848,-8.76085494154105,0.0001222484605573,0.000580981897742,0.80744427360982,ADAMTS12
0.427612324036449,0.297460019862631,4.66640600200559,0.0034409540675602,0.0083802737437039,-2.99722843263763,ADAMTS13
-0.765387603519679,1.08149993349196,-9.65688916740217,7.0495787422103e-05,0.0003846785243125,1.43889332873266,ADAMTS3
-0.913344057666163,1.62539207548405,-3.17950099763068,0.0190782001045802,0.0356644787572976,-4.90059229757626,ADAMTS6
0.69865911530351,1.54788169751623,4.89279698109118,0.002727836487313,0.0069106498036823,-2.73524851426301,ADAMTS9
0.262545464097796,5.7365379218102,3.46574475088523,0.0133651206976919,0.0263531308902607,-4.51047872596593,ADAMTSL3
1.39688881091924,2.34134050439735,12.8536692026262,1.35901868374549e-05,0.0001145939859848,3.32526027465315,ADAMTSL4
-0.488900467019274,1.08450296742387,-3.069155765702,0.0219553354977307,0.0403414547355814,-5.0535093991413,ADAMTSL5
0.148245119400274,0.107108719729527,1.47007559615887,0.191921595274882,0.259799718327735,-7.2784005268124,ADAP2
-0.514922231166791,5.30782471503148,-6.82208118507713,0.0004860284348149,0.0017213617427043,-0.773423352279075,ADAR
0.109081292766313,2.06668063483647,0.600925433218517,0.569870842252018,0.635391436707075,-8.14996282694001,ADARB1
-0.241876409907658,4.17454216950382,-1.77158225023456,0.126827526691636,0.182497973202467,-6.88278368364434,ADAT1
0.265653391003219,1.35065631640057,1.79716922901261,0.122413057474359,0.177126229661774,-6.84801089271805,ADAT2
-1.23416921507,0.996252448784978,-2.8747108926979,0.0282406111797715,0.0503251253241938,-5.3258773122428,ADAT3
-0.499245519012448,2.03534583197371,-2.18054295563629,0.0719905958248465,0.111796148689529,-6.3132582535644,ADCK1
0.734904079143281,1.93688016259354,7.05666683614835,0.0004046765249678,0.0014955887038761,-0.563963939699075,ADCK2
-0.491021801939723,1.67351249814921,-2.00721974991964,0.0914886018632561,0.137571592667585,-6.55761687234389,ADCK5
0.300261440304795,0.271841584636574,1.55795411419144,0.170236185952127,0.234797320140677,-7.16618038148436,ADCY10P1
-1.14630578421035,1.07860055710057,-10.8490576925625,3.62373858332386e-05,0.0002363339393178,2.20207981797155,ADCY3
0.043897102960943,2.6767169485928,0.559321016287431,0.59617977918446,0.658448166061778,-8.17660773264597,ADCY6
-0.293655857494441,0.146827928747221,-1.84614561516417,0.114381352848834,0.166973138401745,-6.7810436985933,ADCY7
-0.782170672885737,4.36700153885457,-14.2891947911871,7.3265624586752e-06,7.48668701555505e-05,4.03098023023528,ADCY9
0.0174502810622655,0.0371093673855122,0.276974214067451,0.79109129668816,0.830112591777888,-8.30995247053655,ADCYAP1
-0.594505467309557,5.38518153686849,-2.03548224836806,0.0879755802514307,0.132888621976537,-6.51800005755474,ADD1
0.0664995668866336,4.85835156450795,0.992076694412421,0.359454122353299,0.435553713279406,-7.82309160824734,ADD3
0.755394614812941,0.69783327919821,6.44184020552891,0.0006612753706124,0.0021943470174163,-1.12513857466578,ADD3-AS1
-0.0273613486361181,0.0700863227685967,-0.512767258125599,0.626432105752841,0.685491836952536,-8.20437212325808,ADGRA2
0.482791405775558,4.21091728191632,6.6761184152166,0.0005461061520789,0.0018833345090799,-0.906610025534995,ADGRA3
-0.28557891870637,0.234299474243726,-3.91493860164366,0.007841827386245,0.0167259718356438,-3.92005392430401,ADGRB2
0.445550386047271,4.16224506919184,5.80704740952889,0.001142695794645,0.0034081596922432,-1.748557087102,ADGRE5
-1.00088670912644,0.53298028677203,-5.66228051868871,0.0013026011700846,0.0037843562826911,-1.89751832894688,ADGRG1
-0.209388999762108,0.104694499881054,-2.51413533088816,0.0456328554485538,0.0757778667315384,-5.8378836663912,ADGRG2
-0.221730766192169,0.147875820558999,-1.49145351912049,0.186420494933359,0.253488188423873,-7.2513722255275,ADGRG5
-0.173062809403379,4.88250565954414,-1.00152990527206,0.355221679210246,0.431753449258909,-7.81366601087554,ADGRG6
0.126073779332653,2.98280142648564,1.24742664769467,0.258704849102782,0.335760921481574,-7.54782345057402,ADGRL1
1.02302903446804,3.89193842212685,12.7751400519787,1.40833734803871e-05,0.0001174186584336,3.2844903383709,ADGRL2
0.885353236271144,2.2499687248782,16.6832924502708,2.94999489718506e-06,4.05756970091126e-05,5.06593597394153,ADGRV1
0.058774257546821,0.0293871287734105,0.857888394782698,0.423880755732678,0.500009262456969,-7.94967917986675,ADH4
0.89536829044987,5.11356017782745,13.9139098884126,8.5604577385866e-06,8.303644006429e-05,3.85337309414949,ADH5
0.854070645901327,1.29425561114997,8.09442072743398,0.0001902659699121,0.0008243590256395,0.300240110715334,ADH6
0.675249937208525,5.29129112861796,11.6874999348622,2.35937282310392e-05,0.0001696921484115,2.69384359580844,ADI1
